name,state,latitude,longitude,safety_guidelines,cultural_guidelines,tech_guidelines
Taj Mahal,Uttar Pradesh,27.1751,78.0421,Stay alert for pickpockets and avoid isolated areas around Taj Mahal.,"Respect local customs in Uttar Pradesh, and dress modestly when visiting Taj Mahal.",Carry offline maps as internet may be unreliable near Taj Mahal.
Red Fort,Delhi,28.6562,77.241,Stay alert for pickpockets and avoid isolated areas around Red Fort.,"Respect local customs in Delhi, and dress modestly when visiting Red Fort.",Carry offline maps as internet may be unreliable near Red Fort.
Gateway of India,Maharashtra,18.922,72.8347,Stay alert for pickpockets and avoid isolated areas around Gateway of India.,"Respect local customs in Maharashtra, and dress modestly when visiting Gateway of India.",Carry offline maps as internet may be unreliable near Gateway of India.
Qutub Minar,Delhi,28.5245,77.1855,Stay alert for pickpockets and avoid isolated areas around Qutub Minar.,"Respect local customs in Delhi, and dress modestly when visiting Qutub Minar.",Carry offline maps as internet may be unreliable near Qutub Minar.
India Gate,Delhi,28.6129,77.2295,Stay alert for pickpockets and avoid isolated areas around India Gate.,"Respect local customs in Delhi, and dress modestly when visiting India Gate.",Carry offline maps as internet may be unreliable near India Gate.
Humayun's Tomb,Delhi,28.5933,77.2507,Stay alert for pickpockets and avoid isolated areas around Humayun's Tomb.,"Respect local customs in Delhi, and dress modestly when visiting Humayun's Tomb.",Carry offline maps as internet may be unreliable near Humayun's Tomb.
Lotus Temple,Delhi,28.5535,77.2588,Stay alert for pickpockets and avoid isolated areas around Lotus Temple.,"Respect local customs in Delhi, and dress modestly when visiting Lotus Temple.",Carry offline maps as internet may be unreliable near Lotus Temple.
Akshardham Temple,Delhi,28.6127,77.2773,Stay alert for pickpockets and avoid isolated areas around Akshardham Temple.,"Respect local customs in Delhi, and dress modestly when visiting Akshardham Temple.",Carry offline maps as internet may be unreliable near Akshardham Temple.
Hawa Mahal,Rajasthan,26.9239,75.8267,Stay alert for pickpockets and avoid isolated areas around Hawa Mahal.,"Respect local customs in Rajasthan, and dress modestly when visiting Hawa Mahal.",Carry offline maps as internet may be unreliable near Hawa Mahal.
Amer Fort,Rajasthan,26.9855,75.8513,Stay alert for pickpockets and avoid isolated areas around Amer Fort.,"Respect local customs in Rajasthan, and dress modestly when visiting Amer Fort.",Carry offline maps as internet may be unreliable near Amer Fort.
City Palace Jaipur,Rajasthan,26.9258,75.8237,Stay alert for pickpockets and avoid isolated areas around City Palace Jaipur.,"Respect local customs in Rajasthan, and dress modestly when visiting City Palace Jaipur.",Carry offline maps as internet may be unreliable near City Palace Jaipur.
Jantar Mantar Jaipur,Rajasthan,26.9248,75.8245,Stay alert for pickpockets and avoid isolated areas around Jantar Mantar Jaipur.,"Respect local customs in Rajasthan, and dress modestly when visiting Jantar Mantar Jaipur.",Carry offline maps as internet may be unreliable near Jantar Mantar Jaipur.
Mehrangarh Fort,Rajasthan,26.2979,73.0188,Stay alert for pickpockets and avoid isolated areas around Mehrangarh Fort.,"Respect local customs in Rajasthan, and dress modestly when visiting Mehrangarh Fort.",Carry offline maps as internet may be unreliable near Mehrangarh Fort.
